c,,,,,,,,,,,,,,,,,
Projects,Primary Category,Secondary Category,Context,The Problem,What I did,UX Problem,Discovery,Analysis,Prototyping,Result,It's impact,Team - Collaborations,Artifacts,TechStack,Side-Story,,
Governor's Data Disaster team Cal-IMPACT,Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; Sikich LLP,"The governor needed a way to understand the status of any disaster in the state at any moment in time. This was one of the purposes of the SalesForce Engage Community Portal, which was still not aligned. ","When the White House called Governor Newsom, it would be a top-down fire drill to access basic information. However, the fields were not mapped properly because each directorate used different terminology. ",Active listening and strategic input,"The idea of grabbing information across the California data lake was still not completely correct because the fields were not well mapped, due to the fact that each directorate could not find alignment on basic terminology",Panel interviews from program leaders and executive team members. ,"I encouraged the team to create a ""confidence meter"" on published information so that the governor could make the determination if he felt comfortable using the data or not. ",The team developed an online desktop and mobile proof-of-concept for Governor Newsom. ,The executive team was thrilled with the product and encouraged it to be completed. ,"My contract had ended when I followed up with the project lead. He told me that the project had been completed, but without my human side of change management, they were unable to get it approved by the executive team. ","I served as product strategiest and the human side of change management. In addition, there were 7 engineers/developers, 4 state leadership. We held panel user interviews,and involved cross-directorate alignment.",,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","Because I was the only contractor on these high-level initiatives, which was unprecedented, I refrained from the executive presentations. When the team showed me their presentation, I explained that executive leadership was going to want a change management plan. The Cal Impact Team lead told me that was unnecessary because it was not in the scope. I asked for permission to create a slide and hide it in the PowerPoint deck because it's better to be prepared and not need it than the reverse. Another high-level tech lead called me afterwards to explain the slide. We spent another two hours reviewing how the change management process worked. When they went into the presentation, the executive team asked about change management as predicted. The lead pulled up the hidden slide and was prepared. After that, I had earned his respect and he became a friend for life.",,
,,,,,,,,,,,,,,,,,
iLave - Mobile Laundry Service,Design; Management,Service; Dual Market; SaaS B2C; Dashboards; UNH,,,,,,,,,,,,,,,
Subscriptex - subscription manager,Design; Management,Service; Finance; International; SaaS B2C; Dashboards; UNH,,,,,,,,,,,,,,,
WeChore - task management,Design; Management,Service; Productivity; Dual Market; SaaS B2C; Dual Market; Dashboards; UNH,,,,,,,,,,,,,,,
CityPups - Adoption matching system,Design; Management,Service; Dual Market; SaaS B2C; Dashboards; UNH,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Gatorade,Design,Branding; Promotion; Campaign; Food & Beverage; Zipatoni,,,,,,,,,,,,,,,
Budweiser,Design,Branding; Promotion; Campaign; Food & Beverage; Zipatoni,,,,,,,,,,,,,,,
Snapple,Design,Branding; Promotion; Campaign; Food & Beverage; Zipatoni,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FairGrounds Coffee,Design; Product,Branding; Food & Beverage; Alexis Design,Local client was building a new coffee café and needed a brand for the area,"The building was old and pink. The owner wanted a fresh but warm, vintage feeling",I met with the owner to understand the feeling she needed to convey. Then met with the landlord to understand what could/not be done.,"The building owner was attached to the pink color, which wouldn't work for the Café brand","Researched the town in Maine, the building codes, landlord requirements, and locals (potential customers).","I realized that the building could be painted, and could have a sign on the corner that simply said, ""coffee""","First draft I developed: logo brand identity (logo, swag, t-shirts), illustrations of building designs, social media campaign, soft and hard opening events, and an operations manual","Client approved everything from the first draft, deciding to iterate as she moved along.","Two years later her business was so successful they relocated across the street into a larger, more established building, tripled her staff, and increased revenue threefold.","Town of Fryeburg, MA, Espresso certification company, Signage builder, painters/construction crew, real estate agent",https://www.facebook.com/FairGroundsCommunityCoffee/,,,,
Red Fox Bar & Grille,Design; Product; Management,Branding; Events; Interior Design; Food & Beverage; Alexis Design,,,,,,,,,,,,,,,
Marriot Hotels,Design,Branding; Interior Design; Hospitality; Granite State Contract Furnishings,,,,,,,,,,,,,,,
Providence School System,Design; Product,Branding; Public Service; Education; Alexis Design,,,,,,,,,,,,,,,
Johnson & Wales University,Design; Product,Branding; Public Service; Education; Alexis Design,,,,,,,,,,,,,,,
Ttools office supplies,Design; Product,Branding; Promotion; Product; Alexis Design,,,,,,,,,,,,,,,
RI Convention Center Authority,Design; Product,"Branding; Public Service; Public Relations; Government, Alexis Design; Rivers, Doyle, & Walsh",,,,,,,,,,,,,,,
Mass DOT Zipper Lane,Design,"Branding: Public Service; Public Relations; Government; Alexis Design; Rivers, Doyle, & Walsh",,,,,,,,,,,,,,,
Gilbane Construction,Design,Branding: Public Service; Public Relations; Government; Alexis Design,,,,,,,,,,,,,,,
TF Green International Airport,Design,"Branding; Public Service; Government; Events; Alexis Design; Rivers, Doyle, & Walsh",,,,,,,,,,,,,,,
Lifespan Health Care,Design,"Branding; Public Service; Healthcare; Alexis Design; Rivers, Doyle, & Walsh",,,,,,,,,,,,,,,
Metabolic Sentinal,Product; Management,Research; Grants; Medical; Healthcare; Alexis Design,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ABC6 WLNE-TV,Design; Product,Branding; Marketing; Promotion; Interior Design; Media; Public Service; Alexis Design,"""One of our strategic partnerships that has nothing to do with conventional media is the ABC6 Playhouse at the Emerald Square Mall. … It’s a break room for moms and kids. We promote it and they (the mall) promote it. We think it’s a nice kind of partnership in the community interest."" Thomas Long",,,,,,Commercial,,,,News Article,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
